"","date","month","weekday","time","flow","holiday"
"397",2019-01-17,"01","Donnerstag","12",754,0
"398",2019-01-17,"01","Donnerstag","13",823,0
"399",2019-01-17,"01","Donnerstag","14",831,0
"400",2019-01-17,"01","Donnerstag","15",930,0
"401",2019-01-17,"01","Donnerstag","16",1096,0
"402",2019-01-17,"01","Donnerstag","17",1250,0
"403",2019-01-17,"01","Donnerstag","18",1158,0
"404",2019-01-17,"01","Donnerstag","19",717,0
"405",2019-01-17,"01","Donnerstag","20",500,0
"406",2019-01-17,"01","Donnerstag","21",424,0
"407",2019-01-17,"01","Donnerstag","22",414,0
"408",2019-01-17,"01","Donnerstag","23",236,0
"409",2019-01-18,"01","Freitag","00",126,0
"410",2019-01-18,"01","Freitag","01",69,0
"411",2019-01-18,"01","Freitag","02",32,0
"412",2019-01-18,"01","Freitag","03",30,0
"413",2019-01-18,"01","Freitag","04",62,0
"414",2019-01-18,"01","Freitag","05",233,0
"415",2019-01-18,"01","Freitag","06",795,0
"416",2019-01-18,"01","Freitag","07",1188,0
"417",2019-01-18,"01","Freitag","08",1221,0
"418",2019-01-18,"01","Freitag","09",778,0
"419",2019-01-18,"01","Freitag","10",755,0
"420",2019-01-18,"01","Freitag","11",816,0
"421",2019-01-18,"01","Freitag","12",722,0
"422",2019-01-18,"01","Freitag","13",762,0
"423",2019-01-18,"01","Freitag","14",818,0
"424",2019-01-18,"01","Freitag","15",967,0
"425",2019-01-18,"01","Freitag","16",1106,0
"426",2019-01-18,"01","Freitag","17",1343,0
"427",2019-01-18,"01","Freitag","18",1157,0
"428",2019-01-18,"01","Freitag","19",741,0
"429",2019-01-18,"01","Freitag","20",440,0
"430",2019-01-18,"01","Freitag","21",393,0
"431",2019-01-18,"01","Freitag","22",436,0
"432",2019-01-18,"01","Freitag","23",390,0
"433",2019-01-19,"01","Samstag","00",224,0
"434",2019-01-19,"01","Samstag","01",163,0
"435",2019-01-19,"01","Samstag","02",113,0
"436",2019-01-19,"01","Samstag","03",82,0
"437",2019-01-19,"01","Samstag","04",73,0
"438",2019-01-19,"01","Samstag","05",101,0
"439",2019-01-19,"01","Samstag","06",172,0
"440",2019-01-19,"01","Samstag","07",226,0
"441",2019-01-19,"01","Samstag","08",410,0
"442",2019-01-19,"01","Samstag","09",623,0
"443",2019-01-19,"01","Samstag","10",696,0
"444",2019-01-19,"01","Samstag","11",736,0
"445",2019-01-19,"01","Samstag","12",776,0
"446",2019-01-19,"01","Samstag","13",782,0
"447",2019-01-19,"01","Samstag","14",870,0
"448",2019-01-19,"01","Samstag","15",866,0
"449",2019-01-19,"01","Samstag","16",875,0
"450",2019-01-19,"01","Samstag","17",914,0
"451",2019-01-19,"01","Samstag","18",826,0
"452",2019-01-19,"01","Samstag","19",529,0
"453",2019-01-19,"01","Samstag","20",377,0
"454",2019-01-19,"01","Samstag","21",354,0
"455",2019-01-19,"01","Samstag","22",400,0
"456",2019-01-19,"01","Samstag","23",393,0
"457",2019-01-20,"01","Sonntag","00",255,0
"458",2019-01-20,"01","Sonntag","01",153,0
"459",2019-01-20,"01","Sonntag","02",108,0
"460",2019-01-20,"01","Sonntag","03",87,0
"461",2019-01-20,"01","Sonntag","04",69,0
"462",2019-01-20,"01","Sonntag","05",49,0
"463",2019-01-20,"01","Sonntag","06",76,0
"464",2019-01-20,"01","Sonntag","07",137,0
"465",2019-01-20,"01","Sonntag","08",199,0
"466",2019-01-20,"01","Sonntag","09",340,0
"467",2019-01-20,"01","Sonntag","10",442,0
"468",2019-01-20,"01","Sonntag","11",538,0
"469",2019-01-20,"01","Sonntag","12",584,0
"470",2019-01-20,"01","Sonntag","13",655,0
"471",2019-01-20,"01","Sonntag","14",752,0
"472",2019-01-20,"01","Sonntag","15",797,0
"473",2019-01-20,"01","Sonntag","16",827,0
"474",2019-01-20,"01","Sonntag","17",844,0
